dasi_cod_cuen	dasi_cod_cact	ccos_cod_ccos	dasi_dml_dasi	dasi_cml_dasi	dasi_det_asi
1.1.01.02.001			502.25		REG. ASIENTO INICIAL ENE 2025
1.1.01.04.004			100.62		REG. ASIENTO INICIAL ENE 2025
1.1.01.04.003			818.89		REG. ASIENTO INICIAL ENE 2025
1.1.01.04.005			16.91		REG. ASIENTO INICIAL ENE 2025
1.1.01.04.006			14.03		REG. ASIENTO INICIAL ENE 2025
1.1.01.04.001			484640.8		REG. ASIENTO INICIAL ENE 2025
1.1.01.04.002			24854.65		REG. ASIENTO INICIAL ENE 2025
1.1.04.02.001			53000		REG. ASIENTO INICIAL ENE 2025
1.1.04.02.001			1563.41		REG. ASIENTO INICIAL ENE 2025
1.1.04.02.001			13795.69		REG. ASIENTO INICIAL ENE 2025
1.1.04.02.001			539051.51		REG. ASIENTO INICIAL ENE 2025
1.1.04.02.001			1859.06		REG. ASIENTO INICIAL ENE 2025
1.1.04.02.001			4864.31		REG. ASIENTO INICIAL ENE 2025
1.1.04.02.001			10240		REG. ASIENTO INICIAL ENE 2025
1.1.04.02.001			12000		REG. ASIENTO INICIAL ENE 2025
1.1.02.08.002			544074.96		REG. ASIENTO INICIAL ENE 2025
1.1.02.05.001			165263.6		REG. ASIENTO INICIAL ENE 2025
1.1.02.06.002			78547.73		REG. ASIENTO INICIAL ENE 2025
1.1.02.08.001			6398.84		REG. ASIENTO INICIAL ENE 2025
1.1.04.02.001			11004288.2		REG. ASIENTO INICIAL ENE 2025
1.1.04.02.001			414871.02		REG. ASIENTO INICIAL ENE 2025
1.1.04.02.002			1758093.4		REG. ASIENTO INICIAL ENE 2025
1.1.02.09.001				139693.4	REG. ASIENTO INICIAL ENE 2025
1.1.03.08.001			872796.91		REG. ASIENTO INICIAL ENE 2025
1.1.03.08.001			40644.94		REG. ASIENTO INICIAL ENE 2025
1.1.03.06.001			804.62		REG. ASIENTO INICIAL ENE 2025
1.1.09.02.003			85276.85		REG. ASIENTO INICIAL ENE 2025
1.1.09.02.006			676348.74		REG. ASIENTO INICIAL ENE 2025
1.1.09.02.001			4290		REG. ASIENTO INICIAL ENE 2025
1.2.01.01.001			690835.73		REG. ASIENTO INICIAL ENE 2025
1.2.01.01.003			300000		REG. ASIENTO INICIAL ENE 2025
1.2.01.01.004			1589.99		REG. ASIENTO INICIAL ENE 2025
1.2.01.01.008			10602184.93		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.008				5802463.03	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.005			2981226.57		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.005				1468200.59	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			36636.29		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				27262.83	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.009			138615.88		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.009				119036.07	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.010			176270.46		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.010				143202.44	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			3754.51		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				3304.91	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			20076.17		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				11542	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			32418.56		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				8232.86	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			17830.4		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				17830.4	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			220850.72		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				197158.93	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			1892399.24		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				1094299.92	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.007			60124.95		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.007				57402.51	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.011			127990.01		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.011				35984.75	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			511464.8		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				511464.8	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			7501.88		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				7501.88	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			2500.24		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				2500.24	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			896		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				896	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			615065.42		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				156433.08	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			147340.95		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				46412.52	REG. ASIENTO INICIAL ENE 2025
1.2.01.01.014			51156.26		REG. ASIENTO INICIAL ENE 2025
1.2.01.02.014				33031.32	REG. ASIENTO INICIAL ENE 2025
1.2.04.01.009			16084.75		REG. ASIENTO INICIAL ENE 2025
1.2.04.02.001				16084.75	REG. ASIENTO INICIAL ENE 2025
1.2.01.04.001			2196		REG. ASIENTO INICIAL ENE 2025
1.2.01.04.001			3500		REG. ASIENTO INICIAL ENE 2025
1.2.01.04.002			3205725.33		REG. ASIENTO INICIAL ENE 2025
1.2.06.08.001			173942.51		REG. ASIENTO INICIAL ENE 2025
1.2.06.08.001			37158.23		REG. ASIENTO INICIAL ENE 2025
