dasi_cod_cuen		dasi_cod_cact	ccos_cod_ccos	dasi_dml_dasi	dasi_cml_dasi	dasi_det_asi
1.1.01.01.002				4,030.19	.00	REGISTRO ASIENTO INICIAL 2025
1.1.01.01.002				200.00	.00	REGISTRO ASIENTO INICIAL 2025
1.1.02.08.001				34,600.59	.00	REGISTRO ASIENTO INICIAL 2025
 1.1.02.07.001				625,206.31	.00	REGISTRO ASIENTO INICIAL 2025
1.1.03.11.001				81,677.79	.00	REGISTRO ASIENTO INICIAL 2025
1.1.03.07.001 				13,574.10	.00	REGISTRO ASIENTO INICIAL 2025
1.2.01.01.007 				255.00	.00	REGISTRO ASIENTO INICIAL 2025
1.2.01.01.009				223.21	.00	REGISTRO ASIENTO INICIAL 2025
1.2.01.01.010				60.00	.00	REGISTRO ASIENTO INICIAL 2025
1.2.01.01.007 				110.00	.00	REGISTRO ASIENTO INICIAL 2025
1.2.01.01.008				70,156.88	.00	REGISTRO ASIENTO INICIAL 2025
 1.2.01.01.011 				438,000.00	.00	REGISTRO ASIENTO INICIAL 2025
1.2.04.01.009				15,550.00	.00	REGISTRO ASIENTO INICIAL 2025
2.1.04.01.001 				216,772.45	.00	REGISTRO ASIENTO INICIAL 2025
3.1.06.01.001				7,383,684.90	.00	REGISTRO ASIENTO INICIAL 2025
3.1.08.02.001 				2,039,371.56	.00	REGISTRO ASIENTO INICIAL 2025
1.1.02.07.001 	LEB-001	LEBORO		.00	1,019.99	REGISTRO ASIENTO INICIAL 2025
2.1.01.03.001				.00	6,906.85	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.001	GUA-001	Gualaquiza Ingenieros S.a.		.00	1,649.57	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.002	SUP-001	SUPERMAG		.00	3,096.80	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.003				.00	8,718,189.72	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.002	GAM-001	GAMSUP		.00	1,587,977.02	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.002	EVA-001	EVAD		.00	32,336.95	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.002	PLO-001	PLOMO		.00	2,547.40	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.003	REY-001	REYCOM		.00	156,622.41	REGISTRO ASIENTO INICIAL 2025
1.1.02.08.028 				.00	942,416.90	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.003	OCM-001	OCMINESA		.00	11,575.97	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.003	TRO-001	TROCOMIN		.00	26.61	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.003	AUR-001	AUROSA		.00	33.94	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.003	DAM-001	DAMAG POR PAGAR		.00	3,180.50	REGISTRO ASIENTO INICIAL 2025
 2.1.06.01.004				.00	2.00	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.003	HAG-001	HAGRANSANSA - PL		.00	240.00	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.003	MAC-001	MACHCOM		.00	380.00	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.003	PLDM001	PLOMO - DMG		.00	639,577.93	REGISTRO ASIENTO INICIAL 2025
2.1.07.02.003	ORO-001	OROCONCENT		.00	4,000.00	REGISTRO ASIENTO INICIAL 2025
2.1.04.01.005				.00	2,336.10	REGISTRO ASIENTO INICIAL 2025
2.1.04.01.002				.00	48,089.24	REGISTRO ASIENTO INICIAL 2025
2.2.02.01.001				.00	20.00	REGISTRO ASIENTO INICIAL 2025
						
