dasi_cod_cuen	dasi_cod_cact	ccos_cod_ccos	dasi_dml_dasi	dasi_cml_dasi	dasi_det_asi
1.1.01.01.002			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.1.01.01.002			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.08.001			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.1.03.11.001			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.1.03.07.001 			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.007 			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.009			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.010			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.007 			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.008			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.011 			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.2.04.01.009			11.21	0	REGISTRO ASIENTO INICIAL 2026
2.1.04.01.001 			11.21	0	REGISTRO ASIENTO INICIAL 2026
3.1.06.01.001			11.21	0	REGISTRO ASIENTO INICIAL 2026
3.1.08.02.001 			11.21	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001 	LEB-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.01.03.001			0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	GUA-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.002	SUP-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003			0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.002	GAM-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.002	EVA-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.002	PLO-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	REY-001		0	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.08.028 			0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	OCM-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	TRO-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	AUR-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	DAM-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.004			0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	HAG-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	MAC-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	PLDM001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	ORO-001		0	0	REGISTRO ASIENTO INICIAL 2026
2.1.04.01.005			0	0	REGISTRO ASIENTO INICIAL 2026
2.1.04.01.002			0	0	REGISTRO ASIENTO INICIAL 2026
2.2.02.01.001			0	0	REGISTRO ASIENTO INICIAL 2026
