dasi_cod_cuen	dasi_cod_cact	ccos_cod_ccos	dasi_dml_dasi	dasi_cml_dasi	dasi_det_asi
1.1.01.01.001	052		34312.68	0	REGISTRO ASIENTO INICIAL 2026
1.1.01.01.001	24-ADMG		53111.15	0	REGISTRO ASIENTO INICIAL 2026
1.1.01.01.001	054		60000	0	REGISTRO ASIENTO INICIAL 2026
1.1.01.01.001	053		355.81	0	REGISTRO ASIENTO INICIAL 2026
1.1.01.01.002			16924.09	0	REGISTRO ASIENTO INICIAL 2026
1.1.01.01.003			3786.7	0	REGISTRO ASIENTO INICIAL 2026
1.1.01.01.004			3000	0	REGISTRO ASIENTO INICIAL 2026
1.1.01.03.002			2000	0	REGISTRO ASIENTO INICIAL 2026
1.1.01.03.001			1000	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.08.027		2.01.001	997000	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.08.027		2.01.002	70000	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.08.027		2.01.003	100000	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.01.001			15000	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	MDMG001		430280	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	CTRO001		1604886.11	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	CORM001		1729.9	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	GUAL001		18692.1	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	COMA001		478424.33	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	COMP001		131.3	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	SUPE001		11237.99	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	PODE001		200	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	COMI001		248.15	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	INBU001		3143.92	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	CERR001		20563.83	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	SEPE001		39420.05	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	MACI001		61.73	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	PROI001		1082.5	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.08.002			183521.81	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	PLO-001		25057029.82	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	REY-001		11589654.62	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	GAM-001		11447766.69	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	LAQ-001		9035429.56	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	DMAG001		365674.71	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	AUR-001		8256327.38	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	MER-001		4099161.98	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	MAC-001		3478470.38	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	INCA001		877904.78	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	BEL-001		1572756.29	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	ASI-001		2802240.65	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	EVA-001		1149947.93	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	OCM-001		10572684.5	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	ADME001		72776.55	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001	ZHUM001		1.2	0	REGISTRO ASIENTO INICIAL 2026
