dasi_cod_cuen	dasi_cod_cact	ccos_cod_ccos	dasi_dml_dasi	dasi_cml_dasi	dasi_det_asi
1.1.01.01.002			4030.19	0	REGISTRO ASIENTO INICIAL 2026
1.1.01.01.002			200	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.08.001			34600.59	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001			625206.31	0	REGISTRO ASIENTO INICIAL 2026
1.1.03.11.001			81677.79	0	REGISTRO ASIENTO INICIAL 2026
1.1.03.07.001 			13574.1	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.007 			255	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.009			223.21	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.010			60	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.007 			110	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.008			70156.88	0	REGISTRO ASIENTO INICIAL 2026
1.2.01.01.011 			438000	0	REGISTRO ASIENTO INICIAL 2026
1.2.04.01.009			15550	0	REGISTRO ASIENTO INICIAL 2026
2.1.04.01.001 			216772.45	0	REGISTRO ASIENTO INICIAL 2026
3.1.06.01.001			7383684.9	0	REGISTRO ASIENTO INICIAL 2026
3.1.08.02.001 			2039371.56	0	REGISTRO ASIENTO INICIAL 2026
1.1.02.07.001 	LEB-001		0	1019.99	REGISTRO ASIENTO INICIAL 2026
2.1.01.03.001			0	6906.85	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.001	GUA-001		0	1649.57	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.002	SUP-001		0	3096.8	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003			0	8718189.72	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.002	GAM-001		0	1587977.02	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.002	EVA-001		0	32336.95	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.002	PLO-001		0	2547.4	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	REY-001		0	156622.41	REGISTRO ASIENTO INICIAL 2026
1.1.02.08.028 			0	942416.9	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	OCM-001		0	11575.97	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	TRO-001		0	26.61	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	AUR-001		0	33.94	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	DAM-001		0	3180.5	REGISTRO ASIENTO INICIAL 2026
2.1.06.01.004			0	2	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	HAG-001		0	240	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	MAC-001		0	380	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	PLDM001		0	639577.93	REGISTRO ASIENTO INICIAL 2026
2.1.07.02.003	ORO-001		0	4000	REGISTRO ASIENTO INICIAL 2026
2.1.04.01.005			0	2336.1	REGISTRO ASIENTO INICIAL 2026
2.1.04.01.002			0	48089.24	REGISTRO ASIENTO INICIAL 2026
2.2.02.01.001			0	20	REGISTRO ASIENTO INICIAL 2026
